Restaurant,Location,T_Reviews,T_Rating,G_Reviews,G_Rating
20 Chulia Lane Cafe,Penang,67,4.776119402985074,62,4.725806451612903
21 Bistro,Kuching,64,4.03125,1,5
28 Food Centre,Miri,1,5,136,4.102941176470588
718 Pizza,Ipoh,2,5,63,4.698412698412699
ANC Burger,Kuching,2,4,136,4.3161764705882355
AQUA Restaurant & Bar,KL,74,4.594594594594595,62,4.5
Ah Chiang Seafood,Miri,1,1,8,3.75
Ah Hua Kuey Teow,JB,8,3.75,74,3.391891891891892
Al Dente,Kuching,6,4.166666666666667,144,3.7708333333333335
Al-Amar,KL,317,3.9242902208201893,292,3.9075342465753424
Amaya Food Gallery,JB,42,4.595238095238095,43,3.9069767441860463
Amma Restaurant,JB,46,3.130434782608696,300,3.183333333333333
Ammah Curry House,Kuching,5,2.8,71,4.028169014084507
Amy Heritage Nyonya Cuisine,Melaka,344,3.729651162790698,293,3.856655290102389
Andrew's Kampung,Penang,710,4.583098591549295,327,4.525993883792049
Apollo Seafood Centre,Miri,40,4.025,125,4.04
Ashoka Curry House,JB,14,3.857142857142857,463,4.088552915766739
Asow Eatery Station,Ipoh,5,4.8,166,3.9457831325301207
Atas Speakeasy,Ipoh,14,4.714285714285714,77,4.558441558441558
Atok Kopitiam,Kuching,3,3.6666666666666665,109,3.7339449541284404
Aud's Cafe,Ipoh,48,4.541666666666667,115,4.3826086956521735
August Cafe,JB,6,4,46,4.173913043478261
BBQ NIGHTS,KL,520,4.6365384615384615,492,4.254065040650406
Bay Street 66,JB,5,4,79,3.6202531645569622
Bear Garden,Kuching,20,4.85,66,4.196969696969697
Bella Italia,Kuching,114,4.245614035087719,247,4.4574898785425106
Bert's Garden Seafood,Melaka,82,4.060975609756097,291,3.7938144329896906
Bert's Keller,JB,2,4.5,14,4.357142857142857
Beta KL,KL,170,4.758823529411765,109,4.238532110091743
Bica & Co Courtyard Cafe,Melaka,60,4.416666666666667,138,4.557971014492754
Big Sister Dumpling Cafe,Kuching,2,3.5,1,5
Bite N Eat Dindigul Biriyani,Penang,170,4.458823529411765,183,3.5846994535519126
Bla Bla Bla,Kuching,592,4.261824324324325,136,4.051470588235294
Blendsmiths,Kuching,4,5,119,4.226890756302521
Boatman Restaurant,Penang,184,4.494565217391305,73,4.3561643835616435
Bombay Palace,KL,390,4.097435897435897,492,3.981707317073171
Borneo Delight,Kuching,40,3.975,86,3.872093023255814
Brasserie 25,KL,86,4.4186046511627906,74,4.054054054054054
