QID,State,Region,Q1.Malaysian_Citizen,Q2.Gender,Q3.Living_Area,Q4.4.Age,Q5.Ethnic_Group_Recode,Q6.Norms_Number_of_Meals_Per_Day,Q6.Norms_Number_of_Meals_Per_Day_Recode,Q7.Norms_Number_of_food_intakes_in_between_meals,Q8.1.Norms_for_Breakfast,Q8.2.Norms_for_Brunch,Q8.3.Norms_for_Lunch,Q8.4.Norms_for_Dinner,Q8.5.Norms_for_Supper,Q8.6.Norms_for_Snack,Q8.7.Norms_for_TeaTime,Q9.1.Number._of_Times_Eat_at_Home_Last_Week,Q9.2.Number_of_Times_Eat_Outside_Last_Week,Q9.Total_Food_Intake_the_Week_Before,Q11_1_Rice_Frequency_Basis,Q11_1_Rice_Frequency,Q11_2_Flavoured_Rice_Freuency_Basis,Q11_2_Flavoured_Rice_Frequency,Q11_3_Noodles_Freuency_Basis,Q11_3_Noodles_Frequency,Q11_4_Mihun..._Frequency_Basis,Q11_4_Mihun..._Frequency,Q11_5_Sagu...._Frequency_Basis,Q11_5_Sagu...._Frequency,Q11_6_Bread_Frequency_Basis,Q11_6_Bread_Frequency,Q11_7_Roti_Canai_Frequency_Basis,Q11_7_Roti_Canai_Frequency,Q11_8_Corn_Frequency_Basis,Q11_8_Corn_Frequency,Q11_9_ChickenDuck_Frequency_Basis,Q11_9_ChickenDuck_Frequency,Q11_10_Meat_Frequency_Basis,Q11_10_Meat_Frequency_Frequency,Q11_10_Meat_Frequency_Average_day,Q11_11_Pork_Frequency_Basis,Q11_11_Pork_Frequency,Q11_12_OtherMeat_Frequency_Basis,Q11_12_OtherMeat_Frequency,Q11_13_Fish_Frequency_Basis,Q11_13_Fish_Frequency,Q11_14_FishCrackers_Frequency_Basis,Q11_14_FishCrackers_Frequency,Q11_15_Eggs_Frequency_Basis,Q11_15_Eggs_Frequency,Q11_16_Burger_Frequency_Basis,Q11_16_Burger_Frequency,Q11_17_FriedChicken_Frequency_Basis,Q11_17_FriedChicken_Frequency,Q11_18_Legumes_Frequency_Basis,Q11_18_Legumes_Frequency,Q11_19_Groundnuts_Frequency_Basis,Q11_19_Groundnuts_Frequency,Q11_20_SoyaBeanCurd_Frequency_Basis,Q11_20_SoyaBeanCurd_Frequency,Q11_21_FermentedSoyBeans_Frequency_Basis,Q11_21_FermentedSoyBeans_Frequency,Q11_22_Milk_Frequency_Basis,Q11_22_Milk_Frequency,Q11_23_MilkShake_Frequency_Basis,Q11_23_MilkShake_Frequency,Q11_24_GreenLeafyVegetables_Frequency_Basis,Q11_24_GreenLeafyVegetables_Frequency,Q11_25_LadiesFinger_Frequency_Basis,Q11_25_LadiesFinger_Frequency,Q11_26_OtherLegumes_Frequency_Basis,Q11_26_OtherLegumes_Frequency,Q11_27_BeanSprout_Frequency_Basis,Q11_27_BeanSprout_Frequency,Q11_28_Tubers_Frequency_Basis,Q11_28_Tubers_Frequency,Q11_29_Cabbages_Frequency_Basis,Q11_29_Cabbages_Frequency,Q11_30_FruitVegetables_Frequency_Basis,Q11_30_FruitVegetables_Frequency,Q11_31_SoyMilk_Frequency_Basis,Q11_31_SoyMilk_Frequency,Q11_32_ChocolateMaltDrink_Frequency_Basis,Q11_32_ChocolateMaltDrink_Frequency,Q12_Who_Cook,Q13_Food_Statement,Q14.1_1st_Dish_Represent_Malaysian_Food_Exact_Answer,Q14.2_2nd_Dish_Represent_Malaysian_Food_Exact_Answer,Q14bis_NasiLemak_Present_Malaysian_Food,Q15.1_Eating_Well_1st,Q15.2_Eating_Well_2nd,Q16.1_Food_Beneficial_1st_Exact_Answer,Q16.2_Food_Beneficial_2nd_Exact_Answer,Q17.1_Food_to_Reduce_1st_Exact_Answer,Q17.2_Food_to_Reduce_2nd_Exact_Answer,Q18.1_Top3Risks_Risk1,Q18.2_Top3Risks_Risk2,Q18.3_Top3Risks_Risk3,Q19a_Cultural_Identity_1_Exact_Answer,Q19a_Cultural_Identity_2_Exact_Answer,Q19a_Cultural_Identity_3_Exact_Answer,Q19b.1_Rank_3_Identity_1,Q19b.2_Rank_3_Identity_2,Q19b.3_Rank_3_Identity_3,Q20.1_Race_Mother,Q20.2_Race_Father,Q20.3_Race_Grandmother_Mother,Q20.4_Race_Grandfather_Mother,Q20.5_Race_Grandmother_Father,Q20.6_Race_Grandfather_Father,Q21.1_Spoken_Language_1,Q21.2_Spoken_Language_2,Q21.3_Spoken_Language_3,Q21.4_Spoken_Language_4,Q21.5_Spoken_Language_5,Q21.6_Spoken_Language_6,Q21.10_Spoken_Language_7,Q21.11_Spoken_Language_8,Q22a_Current_Religion,Q22b_Convert_Religion,Q22c_Previous_Religion,Q23_Influence_Religion_on_FoodHabits,Q24_Height_CM,Q24_Recode_Height_M,Q25_Weight,BMI,Q26.1_1st_Occupation_Original_Answer,Q26.2_2nd_Occupation_Original_Answer,Q27_Occupation_Father_Original_Answer,Q28_Level_of_Education,Q29a_Marital_Status,Q29b_Spouse_Ethnicity,Q30_Children_Number,Q31_Family_Members_Number,Q32_Income_Average_RM_Recode_All,Q33_Changes_Personal_Income,Q34_Permission_Contact
475,Melaka,South,Yes,Female,Urban,25,Malay,2 meals per day,1 or 2 Meal(s),Once or twice a day,,1 Dish of Rice / Noodles with shared dishes ( including lazy Suzan) +/- Beverage,,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,,,21,0,21,Daily,2.0,Weekly,2,Monthly,1,Monthly,1,Seldom,0,Monthly,3,Monthly,1,Seldom,0,Weekly,3,Weekly,1,0.14,Seldom,0.0,Seldom,0,Weekly,2,Monthly,1,Weekly,3,Monthly,1,Monthly,1.0,Seldom,0,Seldom,0,Seldom,0,Monthly,1,Monthly,1,Monthly,1,Weekly,1,Monthly,1,Monthly,1,Monthly,1,Monthly,1,Weekly,1,Monthly,1,Monthly,1,Seldom,0,Others,Food must be first of all a pleasure,Nasi Lemak,Asam Pedas,Agree,Pleasure,Fill the stomach,Vegetables,Fish,Oily Food,Fatty Food,Germs or bacteria in Food,Colouring or preservatives,Expired food,Baju Kurung,Ang pao,Nikah,Malaysian,Muslim,Bumiputra,Malay,Malay,Chinese,Bugis,Chinese,Malay,Malay,,,,,,,,Muslim,No,Not converted,Lightly religious,158.0,1.58,54.0,21.63114885435026,Clerk,,Decline to answer,Upper secondary school SPM / O level,Living in as married (or cohabitation),Malay,2.0,7,5000,Have increased more than 10%,No
20,Selangor,Central,Yes,Male,Urban,26,Indian,3 meals per day,3 Meals,Never,Sandwich / Burger +/- Beverage,1 Dish of Rice / Noodles with shared dishes ( including lazy Suzan) +/- Beverage,1 Dish of Rice / Noodles with shared dishes (Including lazy Suzan) +/- Beverage,Soup +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",Only Beverage,3,12,15,Daily,1.0,Weekly,1,Monthly,3,Monthly,1,Seldom,0,Weekly,1,Monthly,2,Monthly,1,Daily,1,Seldom,0,0.0,Monthly,3.0,Monthly,1,Weekly,1,Seldom,0,Weekly,1,Daily,1,Daily,1.0,Seldom,0,Seldom,0,Monthly,1,Seldom,0,Monthly,1,Monthly,1,Daily,1,Seldom,0,Daily,1,Daily,1,Daily,1,Daily,1,Weekly,2,Weekly,2,Weekly,5,My Mother,Food must be first of all a pleasure,Briyani Rice,Nasi Kandar,Strongly agree,Togetherness,Pleasure,Protein,Vegetables,Sugar,Fatty Food,Colouring or preservatives,Contamination by Pollutant,Food epidemic,Chindian,Leader,Food,Malaysian,Indian,Christian,Indian - Malay,Indian,Chinese,Indian,Indian,Indian,Malay,English,,,,,,,Christian,No,Not converted,Lightly religious,185.0,1.85,94.0,27.465303140978815,Logistic Data Entry,,Mechanical Engineer,College / University,Single or never married,,0.0,5,5000,Have remained more or less stable,No
139,Selangor,Central,Yes,Female,Urban,18,Chinese,3 meals per day,3 Meals,5 - 6 times a day,All day Breakfast with Sausage and Eggs +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,Buffet +/- Beverage,1 Dish of Rice / Noodles with shared dishes (Including lazy Suzan) +/- Beverage + Fruits/Desserts,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",3,18,21,Daily,1.0,Monthly,1,Weekly,2,Weekly,4,Seldom,0,Weekly,5,Weekly,2,Monthly,2,Weekly,5,Weekly,2,0.29,Weekly,4.0,Seldom,0,Weekly,3,Monthly,1,Weekly,6,Weekly,3,Weekly,1.0,Monthly,3,Monthly,1,Monthly,5,Seldom,0,Weekly,2,Weekly,3,Weekly,2,Weekly,3,Weekly,1,Weekly,1,Weekly,3,Weekly,4,Weekly,2,Weekly,1,Weekly,4,Others,Food must be first of all a pleasure,Nasi lemak,Asam Laksa,Strongly agree,Pleasure,Health,Vegetables,Fruits,Fast Food,Dessert,Food allergens,Pesticides on agricultural products,Genetically Modify Organism (GMO),Chinese Food,Chinese temple,Chinese New Year,Buddhist,Malaysian,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Malay,English,Mandarin,Cantonese,,,,,Buddhist,No,Not converted,Not religious at all,153.0,1.53,42.0,17.941817249775728,Student,,Salesman,Upper secondary school SPM / O level,Single or never married,,0.0,6,10000,Have increased more than 10%,Yes
315,Sabah,East Malaysia,Yes,Male,Rural,21,Non-Malay Bumiputra,2 meals per day,1 or 2 Meal(s),3 - 4 times a day,Pastries or Dim Sum +/- Beverage,Only Beverage,Buffet +/- Beverage,1 Dish of Rice / Noodles with shared dishes (Including lazy Suzan) +/- Beverage + Fruits/Desserts,Only Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",0,14,14,Daily,2.0,Weekly,3,Monthly,1,Weekly,2,Seldom,0,Weekly,3,Seldom,0,Seldom,0,Daily,2,Seldom,0,0.0,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Weekly,3,Weekly,4,Weekly,3.0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Monthly,1,Monthly,1,Monthly,1,Seldom,0,Monthly,1,Seldom,0,Monthly,1,Weekly,2,Weekly,3,Monthly,2,Weekly,3,My Mother,Food must be first of all a need,Nasi Lemak,ketupat,Strongly agree,Pleasure,Fill the stomach,Fruits,Fish,Maggi,Nescafe,Food epidemic,Contamination by Pollutant,Expired food,Language,Ambuyat,Tradition,Bumiputra,Muslim,Sabahan,Punjabi,Malay,Bajau,Malay,Malay,Malay,Malay,English,,,,,,,Muslim,No,Not converted,Moderately religious,171.0,1.71,57.0,19.493177387914233,Govermant Servant,,Policeman,Marticulation / Form 6 STPM / A level,Single or never married,,0.0,6,4000,Have remained more or less stable,Yes
324,Sabah,East Malaysia,Yes,Female,SubUrban,21,Non-Malay Bumiputra,2 meals per day,1 or 2 Meal(s),Once or twice a day,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,,,,,7,7,14,Daily,2.0,Seldom,0,Weekly,2,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Daily,1,Seldom,0,0.0,Seldom,0.0,Seldom,0,Daily,2,Seldom,0,Weekly,4,Monthly,0,Weekly,4.0,Weekly,2,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Monthly,1,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Weekly,4,Monthly,1,Weekly,2,My Mother,Food must be first of all a need,Chicken Rendang,Nasi Impit,Agree,Fill the stomach,Gives Energy,Rice,Chicken,Maggi,Carbonated Drinks,Food epidemic,Germs or bacteria in Food,Food allergens,Indusau,Gatherings,Kuah Kacang,Muslim,Malaysian,Sabahan,Iban,Bajau,Bisaya,Bisaya,Chinese,Bajau,Malay,English,,,,,,,Muslim,No,Not converted,Very religious,157.0,1.57,48.0,19.473406629072173,Event Manager,,Lecturer,Marticulation / Form 6 STPM / A level,Single or never married,,0.0,4,2500,Have remained more or less stable,Yes
334,Sabah,East Malaysia,Yes,Female,Urban,20,Non-Malay Bumiputra,2 meals per day,1 or 2 Meal(s),Once or twice a day,Cereals with Milk +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,1 Dish of Rice / Noddles with shared (Including lazy Suzan) +/- Beverage + Fruits/Desserts,Soup +/- Beverage,Only Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",0,14,14,Daily,2.0,Monthly,2,Monthly,3,Weekly,1,Seldom,0,Monthly,1,Monthly,1,Seldom,0,Weekly,3,Weekly,3,0.43,Seldom,0.0,Seldom,0,Daily,2,Seldom,0,Monthly,1,Seldom,0,Weekly,3.0,Weekly,3,Weekly,3,Monthly,1,Seldom,0,Daily,2,Seldom,0,Daily,3,Seldom,0,Seldom,0,Monthly,1,Seldom,0,Daily,2,Seldom,0,Seldom,0,Daily,1,My Mother,Food must be first of all a need,Nasi Lemak,Nasi Impit,Agree,Health,Gives Energy,Fruits,Protein,Fast Food,Carbonated Drinks,Expired food,Unbalance diet to fat or too much sugar,Food epidemic,Buras (food),Language,Tradisional clothing,Muslim,Malaysian,Sabahan,Bugis,Bajau,Bajau,Bajau,Bajau,Bajau,Malay,English,,,,,Bahasa Indonesia,,Muslim,No,Not converted,Very religious,152.0,1.52,37.0,16.014542936288088,Student,,Decline to answer,Marticulation / Form 6 STPM / A level,Single or never married,,0.0,7,3000,Have remained more or less stable,Yes
338,Sabah,East Malaysia,Yes,Male,Rural,21,Non-Malay Bumiputra,2 meals per day,1 or 2 Meal(s),Once or twice a day,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,All day Breakfast with Sausage and Eggs +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,Soup +/- Beverage,Only Beverage,Fruits / Hot or Cold Dessert +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",0,14,14,Daily,2.0,Monthly,1,Monthly,1,Seldom,0,Seldom,0,Monthly,3,Seldom,0,Seldom,0,Daily,1,Monthly,1,0.03,Seldom,0.0,Seldom,0,Weekly,1,Seldom,0,Weekly,2,Seldom,0,Weekly,1.0,Weekly,5,Seldom,0,Seldom,0,Seldom,0,Monthly,1,Monthly,2,Daily,2,Monthly,1,Daily,2,Seldom,0,Weekly,2,Daily,2,Weekly,2,Seldom,0,Seldom,0,My Mother,Food must first of all prevent health problems,Nasi Lemak,Roti Canai,Agree,Health,Gives Energy,Vegetables,Fruits,Fast Food,Fatty Food,Food epidemic,Contamination by Pollutant,Unbalance diet to fat or too much sugar,Kadazan Language,Sumazau dance,Hinava,Muslim,Bumiputra,Malaysian,Bajau,Kedayan,Kedayan,Kedayan,Kedayan,Kedayan,Malay,English,,,,,,,Muslim,No,Not converted,Moderately religious,160.0,1.6,53.0,20.703125,Student,,Civil Servant,Marticulation / Form 6 STPM / A level,Single or never married,,0.0,8,3500,Have remained more or less stable,No
1555,Sarawak,East Malaysia,Yes,Female,SubUrban,37,Malay,1 meal per day,1 or 2 Meal(s),Once or twice a day,"Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage","Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage",1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",14,7,21,Daily,1.0,Daily,2,Weekly,1,Weekly,1,Seldom,0,Weekly,3,Weekly,3,Monthly,1,Weekly,4,Weekly,1,0.14,Seldom,0.0,Seldom,0,Weekly,3,Seldom,0,Daily,1,Weekly,2,Weekly,3.0,Weekly,4,Monthly,2,Weekly,1,Seldom,0,Weekly,3,Weekly,2,Weekly,4,Weekly,2,Monthly,3,Weekly,2,Weekly,1,Weekly,2,Weekly,2,Weekly,2,Weekly,2,I hardly cook at home,Food must be first of all a need,Chicken,Fish,Agree,Pleasure,Togetherness,Vegetables,Fish,Ajinomoto,Salty Food,Unbalance diet to fat or too much sugar,Germs or bacteria in Food,Food epidemic,Polite,Graceful,Respectful,Malaysian,Sarawakian,Muslim,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,147.0,1.47,59.0,27.303438382155583,Factory Worker,,Decline to answer,Lower secondary school / SRP,Divorced,,1.0,5,3000,Have remained more or less stable,No
1581,Sarawak,East Malaysia,Yes,Female,SubUrban,30,Malay,1 meal per day,1 or 2 Meal(s),Once or twice a day,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",Only Beverage,10,10,20,Weekly,4.0,Monthly,2,Monthly,2,Monthly,2,Seldom,0,Weekly,2,Monthly,1,Monthly,1,Daily,1,Daily,1,1.0,Seldom,0.0,Seldom,0,Monthly,2,Weekly,1,Weekly,1,Monthly,1,Monthly,1.0,Seldom,0,Seldom,0,Monthly,2,Seldom,0,Weekly,5,Monthly,2,Weekly,4,Seldom,0,Seldom,0,Weekly,1,Monthly,1,Seldom,0,Monthly,1,Monthly,1,Monthly,1,Myself,Food must be first of all a need,Fish,Chicken,Agree,Pleasure,Health,Vegetables,Fruits,Sugar,Salt,Germs or bacteria in Food,Food epidemic,Pesticides on agricultural products,Malay,Bumiputra,Sarawakian,Muslim,Malay,Sarawakian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,150.0,1.5,54.0,24.0,Housewife,,Farmer,Upper secondary school SPM / O level,Married in monogamous marriage,Non-Malay Bumiputra,1.0,4,2500,Have remained more or less stable,No
1902,Kuala Lumpur,Central,Yes,Female,SubUrban,24,Indian,2 meals per day,1 or 2 Meal(s),Never,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage + Fruits / Desserts,,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Only Beverage,2,18,20,Weekly,4.0,Monthly,1,Weekly,1,Monthly,0,Monthly,0,Weekly,4,Monthly,0,Monthly,0,Monthly,0,Weekly,1,0.14,Monthly,1.0,Monthly,0,Monthly,0,Weekly,2,Monthly,0,Monthly,0,Monthly,0.0,Monthly,0,Weekly,3,Monthly,0,Monthly,0,Weekly,1,Monthly,0,Monthly,0,Monthly,0,Weekly,1,Monthly,0,Monthly,0,Monthly,0,Monthly,0,Seldom,0,Seldom,0,Myself,Food must first of all prevent health problems,vegetables,fish,Strongly agree,Togetherness,Gives Energy,vegetables,fish,sotong,Oil,Pesticides on agricultural products,Food allergens,Food epidemic,hindu,india,India,Muslim,Malay,Malaysian,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Hokkien,,,,,,,,Hindu,No,Not converted,Very religious,145.0,1.45,60.0,28.537455410225924,Housewife,,Bus Conductor,Upper secondary school SPM / O level,Single or never married,,0.0,2,3000,Have decreased more than 10%,Yes
