Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
MYS,1991-01-01,1991-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,43.060000,I
MYS,1992-01-01,1992-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,43.300000,I
MYS,1993-01-01,1993-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,43.910000,I
MYS,1994-01-01,1994-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,44.590000,I
MYS,1995-01-01,1995-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,45.010000,I
MYS,1996-01-01,1996-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,45.530000,I
MYS,1997-01-01,1997-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,45.680000,I
MYS,1998-01-01,1998-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,47.490000,I
MYS,1999-01-01,1999-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,47.510000,I
MYS,2000-01-01,2000-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,49.810000,I
MYS,2001-01-01,2001-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,48.370000,I
MYS,2002-01-01,2002-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,50.230000,I
MYS,2003-01-01,2003-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,51.990000,I
MYS,2004-01-01,2004-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,56.010000,I
MYS,2005-01-01,2005-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,55.980000,I
MYS,2006-01-01,2006-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,62.480000,I
MYS,2007-01-01,2007-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,85.040000,I
MYS,2008-01-01,2008-12-31,131,'458,Malaysia,226,'01379.01,Areca nuts,5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,97.490000,I
