State,Q1.Malaysian_Citizen,Q2.Gender,Q3.Living_Area,Q4.Grow_Up_Area,Exact_Age,Q6.Ethnic_Group,Q7.No_of_Meals_Per_Day,Q8.No_of_Meals_Between_Intakes,Q9.Norms_for_Breakfast,Q9.Norms_for_Lunch,Q9.Norms_for_Dinner,Q9.Norms_for_Supper,Q9.Norms_for_Snack,Q9.Norms_for_TeaTime,Q10.Beverage_for_Breakfast,Q10.Beverage_for_Lunch,Q10.Beverage_for_Dinner,Q10.Beverage_for_Supper,Q10.Beverage_for_Snack,Q10.Beverage_for_TeaTime,Q11.NO._of_Times_Eat_at_Home_Last_Week,Q11.Recode_NO._of_Times_Eat_at_Home_Last_Week,Q11.Eat_Out_Ratio,Q13.Who_Cooks,Q14.Food_Must_Be,Q15a.Halal,Q15b.Halal,Q15c.Halal,Q15d.Halal,Q15e.Halal,Q15f.Halal,Q16.a,Q16.b,Q16.c,Q16.d,Q16.e,Q16.f,Q16.g,Q16.h,Q17.1,Q17.1rec1,Q17.1rec2,Q17.2,Q17.2rec1,Q19.a,Q19.b,Q22.a,Q22.b,Q22.c,Q29a.Religion,Q30.Religion
3,1,2,1,1,50,2,2,2,188,101,111,121,115,151,3,3,4,3,3,3,25,7,0.21875,1,1,1,1,1,2,2,1,3,1,3,3,2,2,2,2,188,8,6,188,Nasi lemak,1,4,1,3,5,1,2
4,1,2,1,1,37,2,3,1,188,101,111,181,181,181,3,9,1,14,14,14,0,21,1.0,1,3,1,1,1,1,1,1,2,3,3,2,2,4,2,2,105,204,20,101,Ginger,1,6,5,1,8,1,2
5,1,2,1,1,47,2,2,2,188,188,181,181,181,151,3,1,1,1,1,3,10,1,0.09090909090909091,1,2,1,1,1,1,3,1,3,1,1,1,2,4,2,2,101,206,21,121,Rendang,2,4,5,3,2,1,2
5,1,2,2,2,37,4,4,2,188,111,111,121,181,135,2,1,1,1,13,13,19,9,0.32142857142857145,6,2,2,2,2,3,2,2,2,4,3,3,2,3,2,2,160,8,6,188,Nasi kelabu,1,3,1,3,4,3,2
6,1,2,2,3,26,2,5,3,188,101,188,188,181,181,4,9,9,13,13,3,25,12,0.32432432432432434,1,1,1,1,1,3,2,1,2,3,3,3,3,4,3,3,105,205,20,105,Mee soup,1,2,8,5,3,1,1
6,1,2,1,1,25,2,3,1,188,111,101,181,181,181,2,1,1,6,6,2,18,3,0.14285714285714285,6,1,1,1,1,3,2,1,2,2,2,2,2,4,3,2,101,206,21,170,Nasi lemak,1,2,2,7,6,1,1
9,1,2,1,1,17,2,3,1,188,111,111,181,181,181,3,13,9,14,14,14,19,2,0.09523809523809523,1,2,1,1,1,2,2,1,3,3,3,2,3,3,3,3,101,206,21,105,Tomyam,1,6,5,1,8,1,2
12,1,1,1,1,40,4,3,2,188,111,111,151,181,181,3,13,1,13,14,14,14,7,0.3333333333333333,2,1,2,2,3,3,3,3,4,2,2,3,3,2,2,2,105,184,4,121,Laksa,1,6,1,6,7,3,5
13,1,1,2,2,27,1,3,3,188,101,101,188,115,115,2,1,1,2,13,2,17,3,0.15,2,1,1,1,1,1,2,1,4,2,1,2,4,4,1,2,168,113,2,170,Chicken rice,4,1,1,7,5,1,3
14,1,2,1,1,40,2,3,2,188,111,111,181,181,181,3,1,1,14,14,14,21,0,0.0,1,1,1,2,1,1,2,1,2,2,2,2,2,4,2,2,160,31,9,160,Chicken Rice,2,3,7,5,6,1,2
